epoch,acc,loss,lr,val_acc,val_loss
139,0.961760000038147,0.2315995049905777,1e-05,0.9038,0.4511164409160614
140,0.9614199999809265,0.23125694667816163,1e-05,0.9036,0.4526565056324005
141,0.963280000038147,0.22875637437820434,1e-05,0.9032,0.45223857069015505
142,0.96024,0.23625751240730286,1e-05,0.9025,0.4562491618156433
143,0.96208,0.232127268409729,1e-05,0.9029,0.4545467195034027
144,0.962839999961853,0.22958793232917785,1e-05,0.9034,0.45598319725990294
145,0.9623599999618531,0.2305589501953125,1e-05,0.9039,0.45393109884262084
146,0.9629200000190735,0.22943788210868835,1e-05,0.9038,0.45214503536224365
147,0.961000000038147,0.23389896450519562,1e-05,0.903,0.45424583349227904
148,0.9617400000190734,0.23470059752464295,1e-05,0.9035,0.4555734522819519
149,0.9623800000381469,0.22997171701908112,1e-05,0.9032,0.4545629096031189
150,0.962100000038147,0.23123352655410767,1e-05,0.9032,0.452666181564331
151,0.9629400000190735,0.22839540968894959,1e-05,0.903,0.4541945373535156
152,0.9620600000190734,0.23063332127571107,1e-05,0.9029,0.4533440435409546
153,0.962539999961853,0.2302276706504822,1e-05,0.9034,0.4540273521900177
154,0.9619199999618531,0.23052720083236694,1e-05,0.9035,0.4523151268005371
155,0.9615600000190735,0.2321589799308777,1e-05,0.9027,0.4528268496513367
156,0.96186,0.23216789838790894,1e-05,0.9026,0.4552228038311005
157,0.9628199999809265,0.23070483276367187,1e-05,0.9027,0.45307986388206484
158,0.962180000038147,0.22990997064590454,1e-05,0.9026,0.4533526814937592
159,0.963340000038147,0.22753451303005218,1e-05,0.9019,0.4565293419837952
160,0.961299999961853,0.2309587366104126,1e-05,0.9031,0.4538795864582062
161,0.9631599999809265,0.22704343111038208,1e-06,0.9027,0.4534594937801361
162,0.9617400000190734,0.2304085523891449,1e-06,0.9027,0.4535850212097168
163,0.9619599999809265,0.23137788804531098,1e-06,0.9027,0.45404518160820007
164,0.9632800000190734,0.2288872449016571,1e-06,0.9025,0.4544731156349182
165,0.961679999961853,0.2299422018289566,1e-06,0.903,0.4533012144088745
166,0.9621200000190735,0.2297230096721649,1e-06,0.9028,0.45409379682540896
167,0.9626400000190735,0.23023907135486602,1e-06,0.9032,0.4536025998592377
168,0.9634800000381469,0.22813622833251954,1e-06,0.9029,0.4544523455142975
169,0.960979999961853,0.23188276471614838,1e-06,0.9031,0.4540687873840332
170,0.9623200000190735,0.22914012547492982,1e-06,0.9032,0.45323735117912295
171,0.9621400000190735,0.23069749560832978,1e-06,0.9031,0.45348563833236694
172,0.9628600000190735,0.22884821070671083,1e-06,0.9029,0.45339252495765686
173,0.962500000038147,0.229639878783226,1e-06,0.9029,0.45338318614959716
174,0.9623800000190735,0.2306936873626709,1e-06,0.9032,0.45365736589431765
175,0.9618599999809265,0.23003541840553285,1e-06,0.9028,0.45384701075553896
176,0.9628199999809265,0.2283821274280548,1e-06,0.9031,0.45366350598335264
177,0.9621399999618531,0.22839037228584289,1e-06,0.9029,0.4537996068954468
178,0.9618,0.22935026556968688,1e-06,0.9036,0.4532721125602722
179,0.962279999961853,0.22962772224903108,1e-06,0.9035,0.4531537266731262
180,0.9629800000190735,0.2281269522666931,1e-06,0.9031,0.4533029953479767
181,0.961980000038147,0.22927547866344453,5e-07,0.9034,0.45357113480567934
182,0.963000000038147,0.2267110359764099,5e-07,0.9033,0.4533891776561737
183,0.9633000000190735,0.22781878767967223,5e-07,0.9033,0.45332499351501465
184,0.9623799999809265,0.23037703975200652,5e-07,0.9029,0.45365590147972107
185,0.9615600000190735,0.23215479740142822,5e-07,0.903,0.4534940246582031
186,0.9642599999809265,0.2274136195755005,5e-07,0.9035,0.4533164062023163
187,0.962980000038147,0.2275368636894226,5e-07,0.9033,0.4531823084831238
188,0.962880000038147,0.22816610211372376,5e-07,0.9036,0.4533448667049408
189,0.96202,0.2317048912334442,5e-07,0.9029,0.45310888519287107
190,0.962739999961853,0.22762531985282897,5e-07,0.903,0.4532816784381866
191,0.9628400000190734,0.22918209142684937,5e-07,0.9035,0.4527553289890289
192,0.9615800000190735,0.2296479433441162,5e-07,0.9035,0.45304013466835025
193,0.9625600000190735,0.22976243750572203,5e-07,0.9033,0.45324536662101744
194,0.962619999961853,0.23042862518310547,5e-07,0.9036,0.45283098382949827
195,0.9627599999809265,0.2308542525434494,5e-07,0.9033,0.4533447883605957
196,0.9606599999809265,0.23147984123706816,5e-07,0.9035,0.45310076808929445
197,0.9624799999618531,0.22758449236869813,5e-07,0.9034,0.45317028794288633
198,0.9623799999809265,0.22802391900539398,5e-07,0.9036,0.45295102429389955
199,0.962679999961853,0.22915140504837037,5e-07,0.9035,0.45283963084220885
